,0,1
0,"['the rock is destined to be the 21st century\'s new "" conan "" and that he\'s going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal . ', '']",pos
1,"['the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson\'s expanded vision of j . r . r . tolkien\'s middle-earth . ', '']",pos
2,"['effective but too-tepid biopic', '']",pos
3,"['if you sometimes like to go to the movies to have fun , wasabi is a good place to start . ', '']",pos
4,"[""emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one . "", '']",pos
5,"['the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game . ', '']",pos
6,"['offers that rare combination of entertainment and education . ', '']",pos
7,"['perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions . ', '']",pos
8,"[""steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off . "", '']",pos
9,"['take care of my cat offers a refreshingly different slice of asian cinema . ', '']",pos
10,"['this is a film well worth seeing , talking and singing heads and all . ', '']",pos
11,"['what really surprises about wisegirls is its low-key quality and genuine tenderness . ', '']",pos
12,"[' ( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind . ', '']",pos
13,"['one of the greatest family-oriented , fantasy-adventure movies ever . ', '']",pos
14,"['ultimately , it ponders the reasons we need stories so much . ', '']",pos
15,"[""an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question . "", '']",pos
16,"['illuminating if overly talky documentary . ', '']",pos
17,"['a masterpiece four years in the making . ', '']",pos
18,"[""the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries . "", '']",pos
19,"['offers a breath of the fresh air of true sophistication . ', '']",pos
20,"['a thoughtful , provocative , insistently humanizing film . ', '']",pos
21,"['with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives . ', '']",pos
22,"['a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass . ', '']",pos
23,"[""not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare . "", '']",pos
24,"['scores a few points for doing what it does with a dedicated and good-hearted professionalism . ', '']",pos
25,"[""occasionally melodramatic , it's also extremely effective . "", '']",pos
26,"['spiderman rocks', '']",pos
27,"['an idealistic love story that brings out the latent 15-year-old romantic in everyone . ', '']",pos
28,"[""at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts . "", '']",pos
29,"['it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid . ', '']",pos
30,"['guaranteed to move anyone who ever shook , rattled , or rolled . ', '']",pos
31,"['a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview . ', '']",pos
32,"['light , cute and forgettable . ', '']",pos
33,"[""if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid . "", '']",pos
34,"[""while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy . "", '']",pos
35,"['though everything might be literate and smart , it never took off and always seemed static . ', '']",pos
36,"[""cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days"", '']",pos
37,"['ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn . ', '']",pos
38,"['though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them . ', '']",pos
39,"['like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series . ', '']",pos
40,"['newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg . ', '']",pos
41,"[""the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride . "", '']",pos
42,"['fuller would surely have called this gutsy and at times exhilarating movie a great yarn . ', '']",pos
43,"[""'compleja e intelectualmente retadora , el ladr\xf3n de orqu\xeddeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '"", '']",pos
44,"['the film makes a strong case for the importance of the musicians in creating the motown sound . ', '']",pos
45,"['karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat . ', '']",pos
46,"['gosling provides an amazing performance that dwarfs everything else in the film . ', '']",pos
47,"[""a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know . "", '']",pos
48,"['tender yet lacerating and darkly funny fable . ', '']",pos
49,"[""may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today . "", '']",pos
50,"[""an engaging overview of johnson's eccentric career . "", '']",pos
51,"['in its ragged , cheap and unassuming way , the movie works . ', '']",pos
52,"[""some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors . "", '']",pos
53,"['sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open . ', '']",pos
54,"['behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart . ', '']",pos
55,"['everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse . ', '']",pos
56,"['manages to be original , even though it rips off many of its ideas . ', '']",pos
57,"['singer/composer bryan adams contributes a slew of songs \x97 a few potential hits , a few more simply intrusive to the story \x97 but the whole package certainly captures the intended , er , spirit of the piece . ', '']",pos
58,"[""you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here . "", '']",pos
59,"['whether or not you\'re enlightened by any of derrida\'s lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow . ', '']",pos
60,"['a pleasant enough movie , held together by skilled ensemble actors . ', '']",pos
61,"[""this is the best american movie about troubled teens since 1998's whatever . "", '']",pos
62,"[""disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both . "", '']",pos
63,"['just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing . ', '']",pos
64,"['the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense . ', '']",pos
65,"['the invincible werner herzog is alive and well and living in la', '']",pos
66,"['morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start . ', '']",pos
67,"['part of the charm of satin rouge is that it avoids the obvious with humour and lightness . ', '']",pos
68,"['son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness . ', '']",pos
69,"['a simmering psychological drama in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them . ', '']",pos
70,"['a taut , intelligent psychological drama . ', '']",pos
71,"[""a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her . "", '']",pos
72,"['a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort . ', '']",pos
73,"['this delicately observed story , deeply felt and masterfully stylized , is a triumph for its maverick director . ', '']",pos
74,"['at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance . ', '']",pos
75,"[""the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible ! "", '']",pos
76,"['a screenplay more ingeniously constructed than "" memento "" ', '']",pos
77,"[""if this movie were a book , it would be a page-turner , you can't wait to see what happens next . "", '']",pos
78,"['haneke challenges us to confront the reality of sexual aberration . ', '']",pos
79,"['absorbing and disturbing -- perhaps more disturbing than originally intended -- but a little clarity would have gone a long way . ', '']",pos
80,"[""it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured . "", '']",pos
81,"[""painful to watch , but viewers willing to take a chance will be rewarded with two of the year's most accomplished and riveting film performances . "", '']",pos
82,"['this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border . ', '']",pos
83,"['an imaginative comedy/thriller . ', '']",pos
84,"['a few artsy flourishes aside , narc is as gritty as a movie gets these days . ', '']",pos
85,"['while the isle is both preposterous and thoroughly misogynistic , its vistas are incredibly beautiful to look at . ', '']",pos
86,"[""together , tok and o orchestrate a buoyant , darkly funny dance of death . in the process , they demonstrate that there's still a lot of life in hong kong cinema . "", '']",pos
87,"['director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english-language movie , the overpraised elizabeth . ', '']",pos
88,"['the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes . ', '']",pos
89,"[""a sports movie with action that's exciting on the field and a story you care about off it . "", '']",pos
90,"[""doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere . "", '']",pos
91,"['the tenderness of the piece is still intact . ', '']",pos
92,"['katz uses archival footage , horrifying documents of lynchings , still photographs and charming old reel-to-reel recordings of meeropol entertaining his children to create his song history , but most powerful of all is the song itself', '']",pos
